epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.598,2.83075,4.99453,2.44017,0.69131,0.00735,0.0059,0.00171,2.70499,4.65293,2.49316,0.000332599,0.000332599,0.0670727
2,250.359,2.6868,4.51933,2.45471,0.00083,0.34351,0.00169,0.00052,2.75374,5.30615,2.61488,0.000665678,0.000665678,0.0340724
3,362.985,2.62477,4.39764,2.36325,0.72856,0.046,0.01724,0.00381,2.59634,4.09909,2.31203,0.000997741,0.000997741,0.00107116
4,474.375,2.61492,4.30623,2.31679,0.5576,0.04629,0.03608,0.00877,2.49329,3.80196,2.40563,0.000996569,0.000996569,0.000996569
5,586.764,2.61077,4.16108,2.31157,0.61031,0.04615,0.04731,0.01607,2.45655,4.19422,2.43033,0.000993906,0.000993906,0.000993906
6,697.848,2.53091,3.99917,2.27599,0.47523,0.02436,0.03858,0.01076,2.49894,3.75022,2.36026,0.000990489,0.000990489,0.000990489
7,811.543,2.47682,3.94805,2.21082,0.73807,0.08743,0.07998,0.02523,2.39432,3.49065,2.36122,0.000986323,0.000986323,0.000986323
8,931.268,2.45302,3.81268,2.16699,0.46045,0.08418,0.07219,0.02225,2.42964,3.48165,2.39117,0.000981415,0.000981415,0.000981415
9,1043.53,2.39704,3.75286,2.15019,0.47245,0.1141,0.07518,0.02687,2.3518,3.39641,2.34428,0.000975773,0.000975773,0.000975773
10,1156.29,2.38845,3.66554,2.19589,0.57821,0.09187,0.09916,0.03156,2.38028,3.48684,2.37583,0.000969405,0.000969405,0.000969405
11,1268.97,2.37619,3.5484,2.18547,0.63667,0.10121,0.08512,0.02981,2.38567,3.25371,2.3355,0.00096232,0.00096232,0.00096232
12,1379.39,2.37003,3.54743,2.16435,0.53258,0.1056,0.09349,0.0376,2.32529,3.18885,2.27575,0.000954531,0.000954531,0.000954531
13,1489.93,2.32679,3.43183,2.15378,0.35572,0.13345,0.11443,0.03414,2.49058,3.30789,2.383,0.000946048,0.000946048,0.000946048
14,1600.17,2.28142,3.45359,2.11814,0.3849,0.13339,0.1208,0.04165,2.29523,3.20326,2.28989,0.000936886,0.000936886,0.000936886
15,1710.41,2.26688,3.2969,2.08387,0.14857,0.1714,0.10818,0.03435,2.41928,3.27717,2.31247,0.000927057,0.000927057,0.000927057
16,1820.93,2.26568,3.3029,2.10162,0.21678,0.15049,0.12678,0.04691,2.27371,3.20038,2.2836,0.000916577,0.000916577,0.000916577
17,1931.33,2.27535,3.2762,2.10935,0.12436,0.11699,0.08784,0.02873,2.39972,3.35445,2.4426,0.000905463,0.000905463,0.000905463
18,2041.6,2.2145,3.18481,2.07998,0.20357,0.17427,0.14891,0.05527,2.32456,2.99593,2.27669,0.000893732,0.000893732,0.000893732
19,2151.92,2.23255,3.08211,2.07952,0.26437,0.15778,0.14366,0.04959,2.3617,3.02906,2.36281,0.000881401,0.000881401,0.000881401
20,2262.29,2.19086,3.09809,2.06961,0.19618,0.16659,0.1519,0.05361,2.28795,2.96282,2.32298,0.00086849,0.00086849,0.00086849
21,2372.83,2.16591,3.07157,2.05964,0.24974,0.19501,0.16908,0.04742,2.33419,3.05217,2.3383,0.000855018,0.000855018,0.000855018
22,2483.63,2.13333,2.94823,2.02145,0.24149,0.21546,0.1687,0.0625,2.31462,2.89262,2.33124,0.000841006,0.000841006,0.000841006
23,2595.83,2.12735,2.9027,2.01706,0.2252,0.24355,0.18937,0.06911,2.26898,2.82145,2.28193,0.000826477,0.000826477,0.000826477
24,2706.61,2.1071,2.84624,1.99805,0.25794,0.20628,0.15832,0.04998,2.33224,2.97027,2.33067,0.000811452,0.000811452,0.000811452
25,2820.15,2.05425,2.75348,1.95238,0.24997,0.25122,0.20688,0.07431,2.32994,2.78097,2.37075,0.000795954,0.000795954,0.000795954
26,2933.54,2.03951,2.58517,1.9547,0.24065,0.29607,0.22406,0.082,2.32105,2.76442,2.32467,0.000780007,0.000780007,0.000780007
27,3048.35,2.04246,2.62907,1.95077,0.23422,0.2251,0.17814,0.06301,2.30666,2.9267,2.21779,0.000763637,0.000763637,0.000763637
28,3162.58,2.02339,2.60254,1.92849,0.3021,0.24513,0.20523,0.07721,2.30456,2.74301,2.30393,0.000746868,0.000746868,0.000746868
29,3277.17,1.99983,2.45907,1.91158,0.32237,0.25538,0.21218,0.0748,2.34927,2.87459,2.41598,0.000729725,0.000729725,0.000729725
30,3388.45,1.96858,2.47858,1.89121,0.29564,0.26392,0.22206,0.08522,2.33277,2.73686,2.37945,0.000712237,0.000712237,0.000712237
31,3501.05,1.93012,2.40399,1.86531,0.23366,0.24925,0.20505,0.07784,2.34905,2.89356,2.35365,0.000694428,0.000694428,0.000694428
32,3624.17,1.93088,2.43953,1.87031,0.31629,0.30936,0.22128,0.08628,2.32314,2.80428,2.3414,0.000676328,0.000676328,0.000676328
33,3740.39,1.88273,2.3103,1.85416,0.29522,0.29761,0.24306,0.09755,2.30988,2.77062,2.31604,0.000657963,0.000657963,0.000657963
34,3852.48,1.84539,2.23993,1.80502,0.24574,0.27512,0.22382,0.07274,2.33199,2.74329,2.3867,0.000639363,0.000639363,0.000639363
35,3964.03,1.84281,2.2044,1.79519,0.28235,0.29863,0.23882,0.08531,2.35215,2.67774,2.37089,0.000620555,0.000620555,0.000620555
36,4077.68,1.81907,2.12372,1.81037,0.36525,0.27337,0.2511,0.09664,2.2899,2.65879,2.29649,0.00060157,0.00060157,0.00060157
37,4188.42,1.80186,2.06924,1.76357,0.34285,0.20647,0.20708,0.07794,2.38729,2.86611,2.41919,0.000582435,0.000582435,0.000582435
38,4304.41,1.77429,2.04621,1.77364,0.36211,0.20461,0.22404,0.08122,2.36935,2.86559,2.40431,0.000563181,0.000563181,0.000563181
39,4426.97,1.77024,2.00775,1.74476,0.32896,0.25028,0.22708,0.08466,2.34128,2.79805,2.34262,0.000543837,0.000543837,0.000543837
40,4545.48,1.74351,1.96039,1.72468,0.21059,0.29977,0.21299,0.07561,2.41689,2.82073,2.50968,0.000524434,0.000524434,0.000524434
41,4656.41,1.71548,1.90072,1.71042,0.2247,0.29967,0.21634,0.07948,2.39525,2.81436,2.39434,0.000505,0.000505,0.000505
