epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2887,2.78482,7.50826,2.21996,0.00102,0.46637,0.0036,0.00071,2.8311,3.77996,2.15928,0.000302333,0.000302333,0.000302333
2,62.1579,2.53384,5.68114,2.00331,0.3551,0.06874,0.0175,0.00454,2.53302,3.73389,2.07797,0.000593347,0.000593347,0.000593347
3,89.3931,2.48906,4.77479,2.00389,0.24267,0.03771,0.02981,0.00814,2.47668,3.73775,2.0264,0.000872363,0.000872363,0.000872363
4,117.632,2.46554,4.14707,2.01096,0.27509,0.08015,0.05645,0.01958,2.3982,3.47201,2.16896,0.000855005,0.000855005,0.000855005
5,145.2,2.39745,3.74997,1.96612,0.48804,0.12041,0.10068,0.03266,2.44303,3.35711,2.045,0.000837007,0.000837007,0.000837007
6,173.15,2.31505,3.55398,1.93981,0.5207,0.07024,0.10467,0.03991,2.32857,3.47799,2.05819,0.000819009,0.000819009,0.000819009
7,200.381,2.29916,3.34043,1.95239,0.11097,0.16444,0.10546,0.03506,2.37796,3.20876,2.07428,0.000801011,0.000801011,0.000801011
8,225.619,2.21384,3.23342,1.85753,0.2324,0.20924,0.14905,0.05864,2.24906,3.17107,2.0105,0.000783013,0.000783013,0.000783013
9,251.046,2.2078,3.12679,1.87812,0.33595,0.21827,0.17914,0.06836,2.2665,3.11201,2.09785,0.000765014,0.000765014,0.000765014
10,275.919,2.17251,3.0175,1.86108,0.17322,0.20399,0.15843,0.06612,2.30184,3.07328,2.08929,0.000747016,0.000747016,0.000747016
11,301.589,2.14081,2.91167,1.82926,0.23737,0.15248,0.1566,0.06295,2.32494,2.96297,2.06228,0.000729018,0.000729018,0.000729018
12,326.998,2.11467,2.80153,1.81793,0.14559,0.20204,0.1415,0.05674,2.24284,2.98252,2.06053,0.00071102,0.00071102,0.00071102
13,352.861,2.09731,2.74541,1.80275,0.27298,0.26169,0.20768,0.07774,2.28825,2.87425,2.04096,0.000693022,0.000693022,0.000693022
14,380.245,2.06703,2.72102,1.7827,0.29078,0.18449,0.17758,0.07389,2.25416,2.99785,2.09336,0.000675023,0.000675023,0.000675023
15,409.123,2.0295,2.61223,1.77624,0.23715,0.24747,0.19374,0.07351,2.24151,2.87279,2.01813,0.000657025,0.000657025,0.000657025
16,438.091,1.99384,2.54235,1.75445,0.176,0.266,0.19139,0.07738,2.27559,2.79459,2.11847,0.000639027,0.000639027,0.000639027
17,467.1,1.99961,2.4158,1.721,0.27557,0.26774,0.2281,0.0944,2.30956,2.78185,2.06616,0.000621029,0.000621029,0.000621029
18,494.414,1.95714,2.3627,1.70932,0.32495,0.25927,0.19689,0.07766,2.36171,2.84635,2.13456,0.000603031,0.000603031,0.000603031
19,523.227,1.9675,2.335,1.71091,0.26362,0.29391,0.24597,0.09284,2.39812,2.73531,2.17316,0.000585032,0.000585032,0.000585032
20,551.318,1.93033,2.27035,1.68309,0.23261,0.25345,0.21323,0.08412,2.29154,2.68582,2.06019,0.000567034,0.000567034,0.000567034
21,580.225,1.89402,2.23335,1.66925,0.24529,0.30533,0.24136,0.08954,2.32205,2.72623,2.13707,0.000549036,0.000549036,0.000549036
22,609.041,1.86791,2.18069,1.62546,0.31339,0.21006,0.18596,0.06917,2.41918,2.931,2.18875,0.000531038,0.000531038,0.000531038
23,637.465,1.86091,2.09925,1.64321,0.30262,0.21917,0.19607,0.06571,2.35509,2.87366,2.15288,0.00051304,0.00051304,0.00051304
24,665.815,1.83106,2.04924,1.61806,0.29734,0.28433,0.23755,0.09109,2.38379,2.80227,2.17429,0.000495041,0.000495041,0.000495041
25,694.074,1.81908,2.03228,1.61754,0.30928,0.26871,0.23437,0.09648,2.27732,2.69948,2.11493,0.000477043,0.000477043,0.000477043
26,722.483,1.78892,1.93654,1.57469,0.40375,0.21672,0.22827,0.08888,2.38245,2.84513,2.19525,0.000459045,0.000459045,0.000459045
27,750.629,1.75942,1.91286,1.57428,0.25338,0.27116,0.22866,0.08672,2.35295,2.82122,2.17067,0.000441047,0.000441047,0.000441047
28,778.646,1.73631,1.8478,1.53994,0.32872,0.26794,0.22774,0.08571,2.41808,2.90286,2.24143,0.000423049,0.000423049,0.000423049
29,806.831,1.70931,1.78972,1.5355,0.37315,0.25784,0.26174,0.10022,2.31252,2.79475,2.1422,0.00040505,0.00040505,0.00040505
30,836.008,1.6928,1.75556,1.53811,0.43597,0.23017,0.25226,0.09001,2.46244,2.89216,2.30828,0.000387052,0.000387052,0.000387052
31,864.532,1.66705,1.69919,1.5124,0.2345,0.30095,0.22496,0.08206,2.38956,2.86183,2.25991,0.000369054,0.000369054,0.000369054
32,893.105,1.65648,1.66135,1.49075,0.31255,0.28267,0.22499,0.08381,2.39755,2.86412,2.23985,0.000351056,0.000351056,0.000351056
33,921.764,1.64192,1.63495,1.48774,0.35259,0.26062,0.24579,0.09151,2.4606,2.93848,2.26148,0.000333058,0.000333058,0.000333058
34,950.081,1.61765,1.60623,1.46407,0.30143,0.29299,0.2468,0.08046,2.4593,2.83394,2.28688,0.000315059,0.000315059,0.000315059
